# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1780627014.71036 0.079150 0.131985 0.004607 -0.508342 0.446548 -0.518744 0.522578 0.0038185793 0.0003191127 -0.0000164431 0.0029392505 0.0001221810 0.0041553553 0.0003457300 0.0001634168 -0.0000709470 0.0018842907 -0.0006889270 0.0007582590
1780627014.74369 0.078941 0.137776 0.004319 -0.509035 0.444194 -0.519804 0.522856 0.0037491233 0.0003275134 -0.0000264436 0.0028117071 0.0000991121 0.0040017539 0.0003334017 0.0001552475 -0.0000785418 0.0018678256 -0.0006927131 0.0007577892
1780627014.77701 0.080807 0.140314 0.003433 -0.512919 0.443367 -0.517942 0.521609 0.0037051510 0.0003303060 -0.0000445898 0.0028121364 0.0001040012 0.0039863129 0.0003324563 0.0001541730 -0.0000772145 0.0018642137 -0.0006916181 0.0007579575
1780627014.81034 0.081124 0.140718 0.004164 -0.513238 0.442554 -0.519095 0.520838 0.0037386493 0.0003333015 -0.0000511274 0.0028096288 0.0001036810 0.0040062105 0.0003338934 0.0001527433 -0.0000778262 0.0018658029 -0.0006920342 0.0007591506
1780627014.84372 0.081813 0.141980 0.004410 -0.515181 0.440102 -0.521881 0.518208 0.0037374000 0.0003407445 -0.0000689791 0.0028069636 0.0001083864 0.0040137101 0.0003331603 0.0001518401 -0.0000783454 0.0018661105 -0.0006927920 0.0007575253
1780627014.87705 0.080572 0.142354 0.005532 -0.514814 0.437222 -0.525628 0.517223 0.0037313123 0.0003506680 -0.0000743118 0.0028144636 0.0001119005 0.0040171788 0.0003340923 0.0001509876 -0.0000785008 0.0018665319 -0.0006932993 0.0007584018
1780627014.91032 0.081435 0.139790 0.004803 -0.513530 0.441734 -0.523846 0.516472 0.0036564205 0.0003535415 -0.0000595560 0.0028113921 0.0001139326 0.0039443347 0.0003306086 0.0001527104 -0.0000780854 0.0018611339 -0.0006930542 0.0007568285
1780627014.94366 0.080375 0.139982 0.004112 -0.515424 0.441638 -0.523491 0.515025 0.0036615622 0.0003483637 -0.0000544027 0.0028025787 0.0001052710 0.0039521227 0.0003287974 0.0001535481 -0.0000777245 0.0018611566 -0.0006921156 0.0007539556
1780627014.97698 0.078803 0.141073 0.002820 -0.517600 0.440323 -0.523546 0.513911 0.0036372489 0.0003506943 -0.0000447172 0.0027997553 0.0000950151 0.0039495055 0.0003273712 0.0001540751 -0.0000771035 0.0018603006 -0.0006914086 0.0007537177
1780627015.01030 0.078686 0.141168 0.002230 -0.518856 0.441140 -0.521853 0.513667 0.0036423557 0.0003527408 -0.0000445379 0.0028009215 0.0000910900 0.0039508633 0.0003281632 0.0001536717 -0.0000769842 0.0018601042 -0.0006909897 0.0007544482
1780627015.04363 0.085402 0.130037 0.001341 -0.508187 0.462487 -0.515167 0.512304 0.0035829817 0.0003598488 -0.0000225373 0.0027893363 0.0000756498 0.0038360477 0.0003250061 0.0001551600 -0.0000772192 0.0018543210 -0.0006905440 0.0007539854
1780627015.07696 0.083679 0.128742 0.002161 -0.506154 0.461218 -0.516161 0.514456 0.0036032197 0.0003267022 -0.0000194637 0.0027585689 0.0000648950 0.0038328961 0.0003179424 0.0001569781 -0.0000776899 0.0018572644 -0.0006906253 0.0007451923
1780627015.11030 0.082802 0.127588 0.002940 -0.505605 0.460669 -0.516817 0.514828 0.0035985991 0.0003275303 -0.0000213849 0.0027593107 0.0000719892 0.0038276163 0.0003166453 0.0001579451 -0.0000780464 0.0018554008 -0.0006914979 0.0007417550
1780627015.14361 0.082290 0.127327 0.003391 -0.505967 0.460062 -0.517089 0.514743 0.0035951264 0.0003282571 -0.0000208139 0.0027592441 0.0000734370 0.0038223617 0.0003161354 0.0001581160 -0.0000781215 0.0018546279 -0.0006917321 0.0007408786
1780627015.17694 0.082133 0.127646 0.003509 -0.506390 0.460194 -0.516791 0.514507 0.0035946431 0.0003260904 -0.0000199455 0.0027565320 0.0000737162 0.0038174091 0.0003160343 0.0001579722 -0.0000780841 0.0018542195 -0.0006917201 0.0007410308
1780627015.21027 0.082860 0.127538 0.003510 -0.507487 0.461030 -0.515677 0.513795 0.0035922385 0.0003236707 -0.0000185811 0.0027534609 0.0000716265 0.0038131751 0.0003156806 0.0001579774 -0.0000780603 0.0018537445 -0.0006918236 0.0007407195
1780627015.24359 0.084043 0.126465 0.004631 -0.507969 0.461626 -0.514597 0.513866 0.0035926018 0.0003225829 -0.0000159910 0.0027513854 0.0000653737 0.0038100782 0.0003151629 0.0001578064 -0.0000782987 0.0018540439 -0.0006920944 0.0007405986
1780627015.27692 0.085116 0.124691 0.006412 -0.506986 0.461009 -0.515320 0.514667 0.0035901825 0.0003242017 -0.0000138651 0.0027516593 0.0000631634 0.0038061472 0.0003144068 0.0001574494 -0.0000791177 0.0018550990 -0.0006930070 0.0007405237
1780627015.31025 0.085853 0.122892 0.007862 -0.505734 0.460365 -0.516730 0.515060 0.0035838502 0.0003293439 -0.0000150185 0.0027558552 0.0000702887 0.0038010841 0.0003134263 0.0001577222 -0.0000797857 0.0018550754 -0.0006938622 0.0007389264
1780627015.34357 0.086555 0.121968 0.008345 -0.505288 0.460501 -0.517276 0.514829 0.0035802717 0.0003309168 -0.0000163438 0.0027570396 0.0000750022 0.0037967999 0.0003126431 0.0001580819 -0.0000798670 0.0018546209 -0.0006940133 0.0007375668
1780627015.37690 0.087465 0.122060 0.008344 -0.505298 0.461066 -0.516871 0.514720 0.0035812124 0.0003271211 -0.0000164438 0.0027532585 0.0000752034 0.0037933705 0.0003123062 0.0001579448 -0.0000797094 0.0018547678 -0.0006937138 0.0007378284
1780627015.41023 0.088480 0.122670 0.008469 -0.504923 0.461868 -0.516659 0.514582 0.0035828829 0.0003236835 -0.0000150691 0.0027497477 0.0000737091 0.0037904118 0.0003124585 0.0001574332 -0.0000797236 0.0018551444 -0.0006936150 0.0007391232
1780627015.44356 0.089350 0.123176 0.009088 -0.503918 0.462822 -0.516054 0.515315 0.0035840724 0.0003208432 -0.0000142191 0.0027467648 0.0000726143 0.0037882807 0.0003125489 0.0001569479 -0.0000799167 0.0018555943 -0.0006937716 0.0007402075
1780627015.47688 0.090310 0.123372 0.009952 -0.503964 0.462965 -0.515455 0.515742 0.0035849898 0.0003182192 -0.0000140283 0.0027443724 0.0000738712 0.0037846974 0.0003125517 0.0001566292 -0.0000803717 0.0018557753 -0.0006943351 0.0007406550
1780627015.51022 0.090901 0.122630 0.011347 -0.504378 0.462922 -0.514562 0.516267 0.0035853165 0.0003169409 -0.0000125394 0.0027427620 0.0000726959 0.0037817190 0.0003123694 0.0001564456 -0.0000807963 0.0018560441 -0.0006948216 0.0007407959
1780627015.54354 0.090978 0.121373 0.012746 -0.504463 0.462350 -0.514610 0.516649 0.0035824996 0.0003198089 -0.0000111711 0.0027442119 0.0000711600 0.0037787802 0.0003115169 0.0001569274 -0.0000814055 0.0018558644 -0.0006956031 0.0007388997
1780627015.57690 0.090752 0.119916 0.013955 -0.503853 0.462129 -0.515155 0.516898 0.0035783616 0.0003239026 -0.0000103998 0.0027465066 0.0000690820 0.0037758120 0.0003108627 0.0001573285 -0.0000817572 0.0018555011 -0.0006960797 0.0007373685
1780627015.61020 0.090244 0.118838 0.014978 -0.503049 0.462055 -0.515713 0.517191 0.0035781888 0.0003227078 -0.0000110808 0.0027455144 0.0000726228 0.0037722970 0.0003103214 0.0001576873 -0.0000820624 0.0018550451 -0.0006965296 0.0007359598
1780627015.64352 0.089644 0.117944 0.015847 -0.502871 0.461823 -0.515389 0.517894 0.0035775642 0.0003215097 -0.0000120805 0.0027444349 0.0000758205 0.0037688620 0.0003097822 0.0001581047 -0.0000822430 0.0018543998 -0.0006968788 0.0007344345
1780627015.67685 0.088863 0.116936 0.016530 -0.503134 0.461690 -0.514926 0.518218 0.0035787096 0.0003188666 -0.0000113591 0.0027418482 0.0000756380 0.0037657394 0.0003094419 0.0001583435 -0.0000823246 0.0018538556 -0.0006970849 0.0007335175
1780627015.71018 0.087660 0.115429 0.016998 -0.503271 0.461624 -0.514862 0.518207 0.0035786669 0.0003175522 -0.0000099140 0.0027398962 0.0000732910 0.0037629186 0.0003086010 0.0001590695 -0.0000824091 0.0018529893 -0.0006973346 0.0007312009
1780627015.74350 0.086197 0.113965 0.017279 -0.503715 0.461471 -0.515198 0.517578 0.0035757270 0.0003204856 -0.0000091766 0.0027414279 0.0000711096 0.0037607764 0.0003076637 0.0001600105 -0.0000824315 0.0018518047 -0.0006976000 0.0007282569
1780627015.77684 0.085032 0.112706 0.017587 -0.503498 0.461380 -0.515307 0.517762 0.0035738512 0.0003219770 -0.0000085714 0.0027419865 0.0000700479 0.0037584560 0.0003071995 0.0001605036 -0.0000823551 0.0018508237 -0.0006977319 0.0007266563
1780627015.81021 0.084552 0.111646 0.018344 -0.504132 0.460994 -0.514999 0.517795 0.0035723901 0.0003200128 -0.0000094221 0.0027394713 0.0000705053 0.0037542203 0.0003067740 0.0001607677 -0.0000824376 0.0018502643 -0.0006979718 0.0007255700
1780627015.84348 0.083858 0.109755 0.019489 -0.504635 0.460498 -0.514817 0.517927 0.0035721353 0.0003203039 -0.0000093613 0.0027395775 0.0000724369 0.0037519333 0.0003065412 0.0001609840 -0.0000829180 0.0018500997 -0.0006986092 0.0007244752
1780627015.87681 0.082286 0.107243 0.020638 -0.503927 0.459788 -0.515411 0.518656 0.0035704398 0.0003234121 -0.0000077397 0.0027418925 0.0000717652 0.0037506873 0.0003056457 0.0001618705 -0.0000831917 0.0018495203 -0.0006989965 0.0007217010
1780627015.91014 0.080372 0.104687 0.021200 -0.503318 0.459500 -0.516259 0.518659 0.0035688754 0.0003250335 -0.0000086070 0.0027431798 0.0000743202 0.0037484370 0.0003047037 0.0001630586 -0.0000832792 0.0018480597 -0.0006994518 0.0007178776
1780627015.94348 0.078041 0.103310 0.021186 -0.502793 0.458448 -0.517749 0.518615 0.0035682130 0.0003246356 -0.0000090364 0.0027426750 0.0000758492 0.0037460218 0.0003037357 0.0001640287 -0.0000829491 0.0018466504 -0.0006993564 0.0007150045
1780627015.97679 0.076252 0.101285 0.020976 -0.502360 0.458882 -0.518254 0.518145 0.0035682788 0.0003243938 -0.0000103438 0.0027426739 0.0000791579 0.0037437438 0.0003031761 0.0001646447 -0.0000827213 0.0018454912 -0.0006993868 0.0007130355
1780627016.01012 0.074326 0.099663 0.020365 -0.501760 0.458932 -0.519174 0.517761 0.0035682405 0.0003236271 -0.0000109433 0.0027419787 0.0000808119 0.0037417002 0.0003023816 0.0001654057 -0.0000823464 0.0018442805 -0.0006992034 0.0007108128
1780627016.04345 0.072678 0.098808 0.019757 -0.502030 0.458531 -0.519031 0.517998 0.0035669386 0.0003242212 -0.0000111822 0.0027420751 0.0000805102 0.0037400008 0.0003016455 0.0001661095 -0.0000818731 0.0018429634 -0.0006989554 0.0007088243
1780627016.07681 0.070995 0.098421 0.019107 -0.502769 0.457822 -0.518776 0.518163 0.0035664232 0.0003244532 -0.0000113671 0.0027420578 0.0000811524 0.0037379338 0.0003015370 0.0001662327 -0.0000817102 0.0018422443 -0.0006990091 0.0007083634
1780627016.11010 0.069750 0.097852 0.018218 -0.503559 0.457498 -0.518276 0.518184 0.0035657308 0.0003249121 -0.0000100029 0.0027415457 0.0000783315 0.0037364106 0.0003012598 0.0001665095 -0.0000813687 0.0018413000 -0.0006988600 0.0007075867
1780627016.14342 0.068546 0.097269 0.016743 -0.504210 0.457473 -0.517792 0.518057 0.0035636523 0.0003268565 -0.0000093023 0.0027423809 0.0000761066 0.0037351027 0.0003005693 0.0001670243 -0.0000810157 0.0018405809 -0.0006985194 0.0007062387
1780627016.17676 0.068206 0.096510 0.014820 -0.505401 0.458657 -0.516245 0.517392 0.0035644680 0.0003263509 -0.0000092915 0.0027414027 0.0000749152 0.0037346056 0.0002998993 0.0001674572 -0.0000804080 0.0018398652 -0.0006978443 0.0007052981
1780627016.21009 0.066424 0.096084 0.011744 -0.503953 0.457203 -0.518942 0.517393 0.0035664504 0.0003233354 -0.0000065491 0.0027380848 0.0000692905 0.0037325869 0.0002990664 0.0001678897 -0.0000799000 0.0018397805 -0.0006969847 0.0007046351
1780627016.24341 0.065131 0.095027 0.008394 -0.502858 0.456445 -0.521177 0.516881 0.0035639653 0.0003259763 -0.0000097422 0.0027412140 0.0000775742 0.0037301513 0.0002982582 0.0001686559 -0.0000789453 0.0018385687 -0.0006959732 0.0007030868
1780627016.27674 0.064293 0.093802 0.004297 -0.501692 0.457397 -0.521753 0.516592 0.0035608683 0.0003292596 -0.0000127194 0.0027445414 0.0000835193 0.0037287278 0.0002973504 0.0001693848 -0.0000780446 0.0018380522 -0.0006948028 0.0007017387
1780627016.31008 0.062825 0.093370 -0.000932 -0.501395 0.457608 -0.522369 0.516071 0.0035615266 0.0003279734 -0.0000131852 0.0027434255 0.0000843396 0.0037275603 0.0002966368 0.0001701224 -0.0000769189 0.0018377091 -0.0006932678 0.0007006825
1780627016.34339 0.061032 0.092525 -0.006730 -0.500992 0.458037 -0.522727 0.515719 0.0035632026 0.0003247187 -0.0000123458 0.0027402473 0.0000826162 0.0037265397 0.0002963053 0.0001708996 -0.0000755816 0.0018373324 -0.0006913544 0.0006998633
1780627016.37672 0.058820 0.090421 -0.012010 -0.500516 0.458255 -0.522837 0.515875 0.0035612240 0.0003257708 -0.0000122347 0.0027406861 0.0000819232 0.0037252696 0.0002956868 0.0001720279 -0.0000745225 0.0018372068 -0.0006898735 0.0006978269
1780627016.41006 0.057010 0.087782 -0.016607 -0.501967 0.459102 -0.521440 0.515127 0.0035574048 0.0003294373 -0.0000125030 0.0027433036 0.0000816098 0.0037239604 0.0002948633 0.0001733480 -0.0000738838 0.0018367030 -0.0006891820 0.0006947967
1780627016.44343 0.056754 0.085102 -0.019555 -0.506676 0.460547 -0.518547 0.512137 0.0035638014 0.0003299681 -0.0000073475 0.0027436192 0.0000741936 0.0037359198 0.0002944899 0.0001744983 -0.0000731559 0.0018372595 -0.0006884199 0.0006925010
1780627016.47672 0.057284 0.082002 -0.020418 -0.512353 0.459147 -0.517946 0.508341 0.0035658745 0.0003315908 -0.0000005761 0.0027435353 0.0000576637 0.0037428460 0.0002939699 0.0001750226 -0.0000728419 0.0018383984 -0.0006883445 0.0006914574
1780627016.51003 0.057209 0.077921 -0.020553 -0.515526 0.458074 -0.520205 0.503773 0.0035759952 0.0003408466 0.0000064470 0.0027522558 0.0000486620 0.0037612259 0.0002934278 0.0001757182 -0.0000730722 0.0018389930 -0.0006892177 0.0006895525
1780627016.54337 0.057145 0.075617 -0.020951 -0.517795 0.457366 -0.523455 0.498698 0.0035728345 0.0003504987 0.0000099599 0.0027594396 0.0000448568 0.0037679490 0.0002926201 0.0001767706 -0.0000731488 0.0018391918 -0.0006898343 0.0006869184
1780627016.57669 0.057155 0.074270 -0.021560 -0.518545 0.457207 -0.525444 0.495965 0.0035704160 0.0003610975 0.0000122040 0.0027680098 0.0000435894 0.0037741260 0.0002927620 0.0001771365 -0.0000729651 0.0018395733 -0.0006897482 0.0006863042
1780627016.61002 0.056876 0.073598 -0.022010 -0.518376 0.456293 -0.527640 0.494650 0.0035622096 0.0003716776 0.0000098776 0.0027780410 0.0000496373 0.0037748495 0.0002928373 0.0001772286 -0.0000729091 0.0018395608 -0.0006897485 0.0006860652
1780627016.64334 0.056262 0.072814 -0.022548 -0.518191 0.455368 -0.529182 0.494049 0.0035548020 0.0003785457 0.0000058911 0.0027853381 0.0000565594 0.0037726817 0.0002929956 0.0001772298 -0.0000727571 0.0018393334 -0.0006895445 0.0006859753
1780627016.67671 0.055964 0.071962 -0.023123 -0.518159 0.454889 -0.529473 0.494212 0.0035563755 0.0003750712 0.0000040854 0.0027820955 0.0000584593 0.0037696445 0.0002930721 0.0001773979 -0.0000724695 0.0018392532 -0.0006891878 0.0006855888
1780627016.71000 0.056309 0.071470 -0.023060 -0.517365 0.454790 -0.528882 0.495766 0.0035625249 0.0003671798 0.0000032159 0.0027745806 0.0000597256 0.0037668559 0.0002929585 0.0001775146 -0.0000723614 0.0018393191 -0.0006891317 0.0006852314
1780627016.74332 0.056947 0.071597 -0.022235 -0.516398 0.454516 -0.528167 0.497783 0.0035658925 0.0003630664 0.0000023478 0.0027708174 0.0000615697 0.0037649739 0.0002927634 0.0001774485 -0.0000725034 0.0018393257 -0.0006894073 0.0006851626
1780627016.77664 0.057826 0.072334 -0.021048 -0.515531 0.455109 -0.527748 0.498584 0.0035672475 0.0003615420 0.0000022983 0.0027692084 0.0000611352 0.0037639399 0.0002926708 0.0001772198 -0.0000727385 0.0018392677 -0.0006897238 0.0006854382
1780627016.81001 0.058292 0.072823 -0.019840 -0.512912 0.456228 -0.527695 0.500314 0.0035589180 0.0003610807 -0.0000014651 0.0027685606 0.0000610312 0.0037525657 0.0002924308 0.0001765999 -0.0000731587 0.0018388073 -0.0006901411 0.0006862441
1780627016.84330 0.058915 0.074047 -0.018313 -0.510573 0.457077 -0.528579 0.500999 0.0035634487 0.0003559265 -0.0000036661 0.0027647853 0.0000677456 0.0037516949 0.0002925545 0.0001761894 -0.0000734204 0.0018387286 -0.0006903888 0.0006869644
1780627016.87663 0.060178 0.075162 -0.016779 -0.508816 0.459238 -0.528083 0.501334 0.0035618087 0.0003517725 -0.0000058837 0.0027621052 0.0000723083 0.0037518314 0.0002924293 0.0001758063 -0.0000737275 0.0018386015 -0.0006906524 0.0006875301
1780627016.90996 0.060524 0.076053 -0.015739 -0.506498 0.460569 -0.527322 0.503258 0.0035592303 0.0003445189 -0.0000072409 0.0027562565 0.0000721402 0.0037409465 0.0002921702 0.0001754309 -0.0000738611 0.0018382091 -0.0006908373 0.0006880901
1780627016.94329 0.060794 0.076517 -0.014580 -0.504590 0.462000 -0.525895 0.505351 0.0035614597 0.0003372205 -0.0000097737 0.0027504263 0.0000759613 0.0037391502 0.0002920449 0.0001752173 -0.0000740063 0.0018379849 -0.0006910187 0.0006882364
1780627016.97661 0.061072 0.076423 -0.013056 -0.504211 0.462135 -0.524881 0.506658 0.0035683858 0.0003316992 -0.0000092889 0.0027460453 0.0000770709 0.0037399551 0.0002920946 0.0001751467 -0.0000742016 0.0018378558 -0.0006913583 0.0006882041
1780627017.00994 0.061520 0.075586 -0.011325 -0.504233 0.461765 -0.525702 0.506122 0.0035629075 0.0003301253 -0.0000096324 0.0027438240 0.0000765401 0.0037386314 0.0002916032 0.0001751108 -0.0000746338 0.0018375568 -0.0006918997 0.0006877370
1780627017.04327 0.061759 0.073537 -0.009606 -0.502162 0.462114 -0.527167 0.506338 0.0035573511 0.0003307667 -0.0000137594 0.0027429868 0.0000764903 0.0037258026 0.0002910242 0.0001751883 -0.0000750058 0.0018368761 -0.0006924644 0.0006868543
1780627017.07660 0.062087 0.070799 -0.007876 -0.499293 0.463412 -0.527335 0.507812 0.0035538603 0.0003306991 -0.0000174276 0.0027424388 0.0000797301 0.0037198639 0.0002903001 0.0001756759 -0.0000754202 0.0018364032 -0.0006931544 0.0006851375
1780627017.10992 0.062502 0.067713 -0.006056 -0.498479 0.464646 -0.526408 0.508446 0.0035530849 0.0003287388 -0.0000188300 0.0027407423 0.0000828937 0.0037175878 0.0002897616 0.0001762215 -0.0000758611 0.0018362673 -0.0006938342 0.0006836119
